userid;Average Screen Time;Average Spent on App (INR);Left Review;Ratings;New Password Request;Last Visited Minutes
1001;1700;63400;1;9;7;2990
1002;0;5400;0;4;8;24008
1003;3700;20700;0;8;5;971
1004;3200;44500;1;6;2;799
1005;4500;42700;1;5;6;3668
1006;2800;59900;0;9;4;2878
1007;4900;88700;1;9;6;4481
1008;800;3100;0;2;1;1715
1009;2800;74100;1;8;2;801
1010;2800;52400;1;8;4;4621
1011;4400;68800;1;8;5;1293
1012;2400;46600;1;10;4;4214
1013;100;4900;0;3;7;9008
1014;4100;84500;0;10;7;3107
1015;3200;25100;0;5;4;2595
1016;1100;16900;0;10;3;577
1017;3800;77600;1;7;4;2965
1018;3400;34100;0;6;1;3124
1019;2100;25000;0;7;5;3460
1020;1800;96700;1;10;6;1925
1021;1500;77400;1;7;1;631
1022;3400;48200;0;6;8;4057
1023;1100;64500;1;9;2;2946
1024;2600;68800;0;9;4;4702
1025;3400;40000;0;8;4;4189
1026;4800;7300;1;10;2;2894
1027;3300;46000;0;9;2;1049
1028;4900;84800;0;5;4;419
1029;900;4600;0;0;2;3273
1030;4700;19500;1;9;4;4060
1031;3400;11400;0;9;6;1148
1032;3000;97600;1;6;8;4784
1033;3500;93200;1;9;4;2808
1034;1200;24300;1;5;5;2920
1035;1200;22200;0;7;6;4096
1036;2200;41000;1;5;7;767
1037;300;7000;0;5;3;3650
1038;0;9600;0;4;6;4107
1039;100;9700;0;1;7;37959
1040;4000;20700;1;7;5;2425
1041;4100;51900;0;7;2;3511
1042;2100;62100;1;5;7;3471
1043;1200;46100;0;10;2;2571
1044;400;9300;0;2;8;49334
1045;1700;80000;0;10;5;520
1046;4300;12500;1;8;5;1553
1047;300;3400;1;5;6;39016
1048;5000;40500;0;8;4;4478
1049;1900;65400;0;6;5;1197
1050;4400;90800;1;10;3;3489
1051;2500;87500;1;9;8;644
1052;3700;51900;0;5;6;3408
1053;1500;26000;1;5;1;1353
1054;4200;91100;1;9;1;1356
1055;4200;21400;0;10;3;3575
1056;1500;77100;1;10;1;3339
1057;4500;72600;0;5;1;2587
1058;2500;11000;0;9;4;4704
1059;3400;19600;0;6;4;3410
1060;3700;15700;1;10;7;4131
1061;3200;91200;0;10;5;873
1062;500;6700;0;2;6;30435
1063;4900;88900;0;10;5;4991
1064;2000;51200;1;7;8;3847
1065;500;2600;1;3;6;40868
1066;4900;20200;0;6;2;1759
1067;3200;23400;1;9;2;2126
1068;3700;96600;1;7;2;794
1069;0;4800;1;4;10;26405
1070;800;9800;1;3;7;2483
1071;4900;72300;0;9;3;1847
1072;4300;73800;0;5;6;4962
1073;3900;52800;0;6;2;4237
1074;3500;88100;1;10;8;1290
1075;900;9000;0;0;2;453
1076;5000;36000;1;7;2;479
1077;4000;81100;1;10;8;4574
1078;4600;39800;0;7;2;4302
1079;4100;38400;1;7;6;4513
1080;1100;97400;0;10;4;4076
1081;2200;22200;0;10;6;4913
1082;1800;99000;1;6;7;3660
1083;3900;26600;0;9;4;550
1084;3200;91900;1;8;7;1477
1085;4400;97600;0;9;5;1710
1086;1200;43600;0;5;3;1070
1087;100;9400;1;5;5;42101
1088;4600;32000;0;9;4;1757
1089;600;1700;1;4;4;893
1090;4800;55200;1;5;4;2273
1091;600;6100;0;4;1;3506
1092;1800;24200;0;7;7;517
1093;1500;54300;0;10;6;4258
1094;100;800;1;0;15;33465
1095;2300;44800;0;6;6;3292
1096;2400;25200;1;8;1;353
1097;0;6600;1;0;2;4370
1098;1000;4200;1;2;8;3800
1099;4500;94000;0;5;4;2961
1100;300;7500;1;4;12;41859
1101;4800;52800;0;7;3;2836
1102;100;5200;1;5;6;6836
1103;4700;83000;0;5;3;4354
1104;2100;55900;0;10;7;670
1105;900;7400;1;3;2;2449
1106;1700;80400;1;9;2;1806
1107;2500;73300;0;9;2;4806
1108;4500;66300;1;5;7;1481
1109;3000;76300;1;9;2;3872
1110;0;2300;0;1;15;22915
1111;1100;6700;0;5;4;1829
1112;1500;11500;0;5;1;2148
1113;1400;85300;0;8;2;2754
1114;1700;37900;0;7;8;727
1115;500;2000;1;5;5;13331
1116;2600;62900;1;5;2;3982
1117;1200;50800;0;6;1;3589
1118;1400;46200;0;8;7;229
1119;400;9300;0;0;1;4598
1120;4100;20400;0;5;4;3545
1121;3100;29300;1;7;2;2905
1122;900;3100;1;3;3;1096
1123;300;4400;1;0;13;28046
1124;1900;35400;1;7;6;3008
1125;1600;97100;1;6;2;1011
1126;1100;25500;0;8;7;2592
1127;1900;29400;0;5;1;1515
1128;2100;68200;0;5;4;2356
1129;3800;60100;0;9;5;4027
1130;3000;5900;1;8;2;2147
1131;2700;62700;0;7;8;3234
1132;2900;7300;0;8;1;432
1133;700;500;1;2;8;2739
1134;3300;50000;0;8;4;963
1135;1600;36400;1;6;3;1363
1136;1500;46400;0;6;8;1992
1137;1000;1000;1;1;8;3452
1138;2900;8700;1;6;3;2308
1139;100;1300;0;2;2;12629
1140;1900;57000;0;7;8;3105
1141;4400;66700;0;7;1;2276
1142;600;9600;0;0;4;1742
1143;3300;48500;0;10;1;721
1144;3900;74000;0;9;6;3309
1145;900;2700;1;4;7;823
1146;2500;54900;1;6;4;3312
1147;200;4200;1;2;11;40603
1148;4000;21900;0;8;5;1178
1149;4300;55000;1;9;1;4270
1150;1600;86100;1;8;1;3428
1151;100;9500;1;2;10;31724
1152;3500;99100;0;5;7;1547
1153;4300;72200;1;6;4;3163
1154;2400;8400;1;8;8;835
1155;700;1200;1;3;5;4848
1156;1700;15300;0;6;2;4795
1157;4900;9000;1;9;2;2041
1158;1700;79900;1;5;3;3900
1159;300;8300;0;0;8;25789
1160;1400;93800;0;7;7;1261
1161;2400;58200;1;6;3;253
1162;4100;9600;1;7;7;3385
1163;4400;43100;1;8;1;2008
1164;1400;40200;1;8;6;3529
1165;2200;62900;0;6;1;360
1166;2900;9100;1;7;8;3241
1167;4400;67400;1;10;8;4975
1168;2300;90100;1;7;6;684
1169;1400;19600;0;7;8;2905
1170;4600;15100;1;5;4;2354
1171;3700;56400;0;7;8;4004
1172;3300;49300;1;6;4;2221
1173;1200;7100;1;10;5;3853
1174;300;4600;0;2;14;24048
1175;4000;26600;0;8;3;3559
1176;2900;83800;0;10;7;3737
1177;1400;13500;0;5;2;2687
1178;3100;7200;0;5;1;4566
1179;5000;83900;0;6;5;2351
1180;900;1200;1;1;5;4818
1181;300;10000;0;3;7;29465
1182;400;3700;1;3;5;43650
1183;4400;86700;0;10;7;4299
1184;400;5100;0;0;8;38744
1185;4500;37500;0;5;8;873
1186;4200;79800;0;9;2;4624
1187;4000;69600;1;7;8;592
1188;3500;89400;0;8;3;1425
1189;1700;52200;0;8;6;437
1190;500;4600;0;3;7;1791
1191;1900;66100;1;8;1;2640
1192;4700;75000;0;6;8;553
1193;2000;10100;0;9;7;1194
1194;1300;7300;0;9;3;1185
1195;1300;31600;1;5;8;1267
1196;3000;48200;1;9;5;617
1197;4600;74700;0;9;2;1751
1198;700;3600;1;1;5;3735
1199;100;9200;0;1;14;19379
1200;4800;63400;1;7;5;4059
1201;2900;99000;1;8;6;1340
1202;1800;21200;0;5;1;4078
1203;800;3300;0;3;1;2979
1204;3700;98700;0;10;6;1393
1205;2800;89200;0;7;3;1136
1206;2500;48900;1;10;5;2437
1207;200;6900;1;0;7;15053
1208;1400;27900;1;6;8;1306
1209;5000;88200;0;9;4;203
1210;2900;72100;1;7;5;4378
1211;3100;67400;1;7;7;3225
1212;2400;80900;0;10;4;2020
1213;0;9300;0;4;15;38821
1214;1700;29600;1;9;6;2263
1215;900;9400;1;2;6;2608
1216;1500;37200;1;9;8;3642
1217;3200;16400;1;8;6;622
1218;1400;14600;1;9;5;769
1219;4100;67200;1;9;3;3850
1220;100;1600;0;5;8;49715
1221;1500;20500;0;5;2;3549
1222;2600;15000;1;9;2;3150
1223;1200;83600;0;5;8;1746
1224;1800;70100;1;6;2;2530
1225;1400;61600;1;9;7;2984
1226;1100;37800;1;10;8;3909
1227;3500;99800;0;6;3;2805
1228;300;1000;1;4;8;23311
1229;4800;29800;1;6;8;622
1230;2400;34400;1;8;4;1872
1231;3200;49600;1;7;7;3815
1232;4300;39900;1;8;4;407
1233;2100;52000;0;5;7;674
1234;700;1900;1;1;1;4092
1235;500;0;1;1;6;1713
1236;3200;49100;0;6;1;4452
1237;5000;97400;1;9;7;3002
1238;1900;86500;0;9;3;2849
1239;1400;66200;0;5;3;1014
1240;4100;25000;0;5;8;2119
1241;2600;48500;0;9;5;3937
1242;1500;50600;0;10;1;3981
1243;3700;53400;0;7;1;413
1244;1400;60300;0;8;3;1559
1245;3100;81700;1;6;5;1072
1246;4000;30000;0;9;2;4896
1247;3900;59500;1;7;5;1254
1248;2600;93600;1;7;3;2373
1249;2400;48800;0;6;4;4692
1250;3300;24200;0;8;2;3265
1251;1000;3100;0;0;8;859
1252;2400;39200;0;9;4;1818
1253;3300;33300;0;9;3;3839
1254;1800;32800;1;9;1;242
1255;2000;82800;1;10;5;2268
1256;3100;83900;1;10;6;1027
1257;400;1700;0;5;5;24656
1258;4900;18800;1;10;1;1008
1259;3900;40500;0;8;1;1523
1260;2400;63400;0;7;4;3562
1261;2500;71500;1;7;3;2310
1262;2100;59800;1;7;3;4136
1263;3600;75500;1;9;7;1391
1264;3200;13800;0;7;5;2432
1265;300;7700;0;0;5;18701
1266;2300;31000;1;9;7;991
1267;2500;47700;0;8;6;3295
1268;400;9100;1;2;15;36469
1269;1500;25200;1;10;8;1324
1270;2600;38500;0;9;5;4941
1271;3500;21700;1;7;4;2463
1272;1400;8100;1;9;1;4230
1273;4300;42900;0;7;8;2769
1274;1600;25400;1;10;3;1754
1275;900;8000;0;5;3;1828
1276;1500;36100;1;6;2;4539
1277;700;800;1;5;2;3001
1278;1200;86300;0;10;8;4269
1279;3600;27000;0;9;6;1728
1280;1800;81300;0;9;7;1459
1281;1400;82600;1;8;5;1776
1282;2400;51100;0;6;2;2284
1283;800;900;1;4;6;2119
1284;2800;86000;1;6;4;2833
1285;3000;22600;1;9;4;3766
1286;4600;13500;1;10;7;1042
1287;3000;41600;0;5;4;2998
1288;3000;46300;0;9;3;4154
1289;4900;87700;1;7;2;873
1290;1700;36000;0;10;5;2641
1291;3200;83000;1;9;6;3919
1292;0;3200;1;4;13;21352
1293;2200;90900;0;10;8;942
1294;4200;6300;1;7;7;220
1295;3600;30000;1;9;6;3144
1296;3400;28500;1;7;6;673
1297;3700;83700;0;6;6;4166
1298;2300;32000;1;7;4;4058
1299;3100;62100;0;5;1;479
1300;1400;15200;0;9;7;1769
1301;2600;48600;1;7;6;1256
1302;1900;40100;1;6;6;3299
1303;500;7900;0;2;6;5099
1304;0;9500;0;0;6;17126
1305;3300;77800;1;9;4;1526
1306;1100;92300;1;10;5;4629
1307;400;3800;0;0;2;5843
1308;3100;9500;0;10;7;272
1309;3300;99000;0;10;4;828
1310;4900;67900;0;10;7;1312
1311;3300;61700;1;7;3;3933
1312;2200;99400;0;10;5;4074
1313;2500;51900;0;7;5;4906
1314;900;2500;0;2;7;2294
1315;1700;39600;0;9;4;4180
1316;4700;22600;1;10;1;3556
1317;1800;99300;0;8;2;3438
1318;4400;10700;0;6;2;1845
1319;4000;86900;1;6;1;4340
1320;2300;6000;1;6;1;614
1321;2500;74900;1;10;1;3127
1322;2500;86300;0;5;6;3663
1323;2400;15800;1;8;5;4578
1324;3900;42400;1;5;6;931
1325;2500;98400;1;7;6;1008
1326;600;2000;1;1;7;2780
1327;4200;98800;0;8;4;1976
1328;200;3900;0;1;15;45339
1329;4600;56000;1;9;4;4557
1330;3600;72100;1;6;3;4769
1331;2100;26100;0;7;8;450
1332;0;10000;1;5;3;13777
1333;2900;49200;1;8;8;4684
1334;1100;22200;0;8;5;4297
1335;1700;78800;0;7;1;4344
1336;100;3100;0;4;11;47187
1337;3700;17500;1;8;2;2190
1338;3500;19800;1;5;4;2290
1339;1500;48100;1;9;5;542
1340;1800;86300;1;5;6;1764
1341;4900;58000;0;8;8;4885
1342;2400;21600;0;10;1;3049
1343;1200;6900;0;8;5;2628
1344;1500;80700;0;5;1;4024
1345;2600;73900;0;8;5;4155
1346;2700;70400;1;9;1;3756
1347;2400;35700;1;7;2;640
1348;3900;61400;1;10;1;3173
1349;600;8700;1;4;4;3890
1350;3300;55900;0;9;4;4818
1351;4300;66000;0;8;1;252
1352;4900;62300;0;8;1;4047
1353;500;9300;0;4;10;49696
1354;4400;35000;1;10;5;1642
1355;0;4200;0;5;14;22099
1356;3500;93600;0;7;6;4705
1357;500;4700;0;0;8;16523
1358;100;2800;1;2;11;19278
1359;3400;84100;0;5;3;1115
1360;3200;8900;0;7;3;2953
1361;4300;83300;0;9;1;4551
1362;3200;76300;0;9;1;2295
1363;1600;6800;0;5;7;426
1364;4500;33000;0;8;5;1022
1365;2500;15900;0;7;7;4502
1366;2400;34000;1;10;6;2555
1367;4600;83200;0;6;7;577
1368;2800;99200;0;5;6;2163
1369;3000;84900;1;8;5;714
1370;2600;74200;0;6;7;4988
1371;800;7300;1;1;4;3300
1372;3300;19000;1;5;2;789
1373;3500;92800;1;8;3;862
1374;1200;71800;0;9;1;1744
1375;4900;23800;1;8;6;4270
1376;3400;73600;0;10;6;4581
1377;2000;99200;1;7;5;2166
1378;1800;16500;0;10;1;430
1379;400;2500;0;3;8;39153
1380;700;7500;0;5;7;697
1381;1400;32600;0;10;4;1944
1382;4100;17300;0;10;4;4647
1383;1100;93000;1;8;6;4989
1384;1500;34900;0;5;2;2546
1385;4100;15200;1;10;8;4526
1386;2200;71900;0;10;4;1658
1387;2100;59700;1;6;3;2828
1388;1800;28600;0;7;7;400
1389;3500;75400;1;8;5;1790
1390;3400;8800;1;9;4;2901
1391;400;5000;0;0;11;27125
1392;1600;76800;1;6;4;2942
1393;1800;15800;1;10;8;2768
1394;1900;72900;0;9;3;1414
1395;0;9700;0;3;9;37826
1396;300;3700;0;1;1;6641
1397;3000;90000;1;10;3;4080
1398;1300;18800;1;7;1;1791
1399;200;8900;0;4;6;6207
1400;5000;7000;0;5;1;3670
1401;1300;53600;1;7;8;4247
1402;5000;60900;0;8;7;935
1403;2300;79600;0;6;4;2983
1404;3400;9500;1;9;6;969
1405;3600;87100;1;8;2;3179
1406;400;5800;1;0;11;32302
1407;700;1000;1;2;6;1857
1408;4100;73300;1;10;8;4911
1409;3400;60800;1;9;7;2865
1410;2000;50600;1;6;8;1883
1411;3100;97700;0;6;3;1135
1412;3500;76100;0;7;3;1949
1413;4100;70800;1;8;2;680
1414;3700;53400;0;7;5;395
1415;800;7100;0;1;5;4244
1416;200;900;1;3;2;5048
1417;800;400;1;2;1;967
1418;1200;50200;1;7;6;3111
1419;2200;61400;1;5;5;4067
1420;2000;47300;1;5;5;4950
1421;1000;6700;1;4;6;586
1422;4000;25400;0;9;3;1586
1423;1800;55800;1;6;8;2716
1424;3100;51300;0;5;3;2310
1425;3900;8000;0;7;5;3519
1426;4400;62100;1;8;2;2005
1427;3400;90200;1;5;1;572
1428;5000;41100;0;6;6;857
1429;900;6300;0;0;2;4324
1430;1300;88900;1;10;3;3279
1431;4000;34700;0;9;1;2006
1432;4400;54600;1;10;6;222
1433;1700;81000;0;8;8;1541
1434;2900;6800;0;8;5;1316
1435;3300;78300;0;6;4;4893
1436;700;900;1;4;7;4060
1437;3600;60300;1;6;8;3949
1438;1700;63300;1;7;1;3840
1439;500;1500;1;2;6;37453
1440;1000;6500;0;2;6;2102
1441;3000;48100;1;5;6;1376
1442;2900;9300;0;5;1;4389
1443;2900;56800;1;8;4;2123
1444;3300;42300;0;7;1;3737
1445;4700;31900;0;5;5;1902
1446;3500;43400;1;10;1;3761
1447;4500;7500;0;5;7;3489
1448;1900;78600;0;5;6;4602
1449;2300;55100;1;9;5;3935
1450;700;8500;1;0;6;2120
1451;3300;48600;0;6;4;1049
1452;4900;26700;0;7;1;4198
1453;4100;56600;1;5;6;507
1454;1600;15000;1;10;8;906
1455;3000;62300;1;7;2;650
1456;2400;21900;0;6;5;1842
1457;1700;37900;0;8;6;2521
1458;600;9700;0;1;8;4164
1459;1800;37500;1;6;4;1668
1460;2300;64700;1;9;6;679
1461;800;4400;0;3;1;1552
1462;4100;63500;0;6;6;301
1463;2500;24100;1;10;4;2932
1464;2000;85800;0;5;7;3131
1465;2200;43500;1;6;4;1778
1466;3900;10200;1;8;1;4891
1467;2100;30500;1;7;5;2681
1468;4200;21200;0;8;2;2220
1469;400;7500;1;4;7;47412
1470;3500;80500;0;6;1;1597
1471;4200;69300;1;6;5;1416
1472;2200;98100;0;5;1;3999
1473;2500;27500;1;8;6;3942
1474;2000;46000;1;7;3;1434
1475;1100;27300;0;9;4;2603
1476;0;6600;0;0;10;31950
1477;500;1700;0;5;15;45979
1478;5000;88600;1;9;6;524
1479;1700;47800;1;8;1;721
1480;2900;36800;1;9;3;4812
1481;1100;51000;0;5;6;952
1482;3900;36800;0;9;7;4734
1483;900;1400;1;2;5;2188
1484;2500;97000;1;10;4;3392
1485;4500;28400;1;10;1;949
1486;800;3900;1;4;3;3457
1487;1300;12500;1;10;6;1919
1488;1300;61900;1;10;7;4346
1489;3100;20700;1;7;7;2620
1490;4200;8300;1;7;4;4897
1491;3600;63300;0;5;1;2601
1492;0;2100;1;5;15;38457
1493;1500;6400;1;9;7;956
1494;1600;76700;1;8;5;2602
1495;2800;7500;0;9;7;500
1496;4600;5300;1;7;1;2569
1497;3400;36600;1;5;1;2581
1498;900;1500;1;1;2;2196
1499;1300;47900;1;5;2;4646
